Psite:,1,MW =,"8,760,000",kWh/yr,,Wsite:,"10,000",L/yr,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,MATLAB results,,,,,,,,,
County FIPS,Climate Zone,EWIF (L/kWh),EF (kg/kWh),AWARE-US CF,SWI (L/kWh),"CF, kg/yr","WF1,2","WSF, L/yr",,"CF, %","CF, color",,,,,,,FIPS,EWIF,EF,ACF,SWI,2.00E+00,7.47E-02,4.68E-07,4.26E-02,3.85E-07
1001,3A,1.938821038,0.567169085,0.386370402,0.517070952,4.97E+06,1.70E+07,4.53E+06,"Autauga County, Alabama",63%,Y,1001,1,Alabama,AL,0,,1001,1.94E+00,5.67E-01,3.86E-01,5.17E-01,0,1.98E-08,2.59E-08,5.18E-09,9.28E-08
1003,2A,1.938821038,0.550536572,0.221203679,0.517070952,4.82E+06,1.70E+07,4.53E+06,"Baldwin County, Alabama",61%,Y,1003,1,Alabama,AL,0,,1003,1.94E+00,5.51E-01,2.21E-01,5.17E-01,0,1.98E-08,5.16E-08,9.49E-08,9.28E-08
1005,3A,1.938821038,0.550536572,0.380752001,0.517070952,4.82E+06,1.70E+07,4.53E+06,"Barbour County, Alabama",61%,Y,1005,1,Alabama,AL,0,,1005,1.94E+00,5.51E-01,3.81E-01,5.17E-01,0,1.98E-08,5.16E-08,2.63E-09,9.28E-08
1007,3A,1.938821038,0.429593116,0.320777379,0.687173942,3.76E+06,1.70E+07,6.02E+06,"Bibb County, Alabama",48%,Y,1007,1,Alabama,AL,0,,1007,1.94E+00,4.30E-01,3.21E-01,6.87E-01,0,1.98E-08,3.62E-08,6.55E-08,6.11E-08
1009,3A,2.238038167,0.463946052,0.28850787,0.687173942,4.06E+06,1.96E+07,6.02E+06,"Blount County, Alabama",51%,Y,1009,1,Alabama,AL,0,,1009,2.24E+00,4.64E-01,2.89E-01,6.87E-01,0,7.48E-08,1.03E-07,1.04E-07,6.11E-08
1011,3A,1.938821038,0.550536572,0.386523645,0.517070952,4.82E+06,1.70E+07,4.53E+06,"Bullock County, Alabama",61%,Y,1011,1,Alabama,AL,0,,1011,1.94E+00,5.51E-01,3.87E-01,5.17E-01,0,1.98E-08,5.16E-08,1.16E-07,9.28E-08
1013,3A,1.938821038,0.550536572,0.362723443,0.517070952,4.82E+06,1.70E+07,4.53E+06,"Butler County, Alabama",61%,Y,1013,1,Alabama,AL,0,,1013,1.94E+00,5.51E-01,3.63E-01,5.17E-01,0,1.98E-08,5.16E-08,1.19E-07,9.28E-08
1015,3A,1.938821038,0.467899338,0.309062218,0.687173942,4.10E+06,1.70E+07,6.02E+06,"Calhoun County, Alabama",52%,Y,1015,1,Alabama,AL,0,,1015,1.94E+00,4.68E-01,3.09E-01,6.87E-01,0,1.98E-08,8.20E-08,5.82E-08,6.11E-08
1017,3A,1.938821038,0.551376481,0.353274252,0.517070952,4.83E+06,1.70E+07,4.53E+06,"Chambers County, Alabama",61%,Y,1017,1,Alabama,AL,0,,1017,1.94E+00,5.51E-01,3.53E-01,5.17E-01,0,1.98E-08,3.50E-08,1.36E-07,9.28E-08
1019,3A,3.522873776,0.329401037,0.290955233,0.779760795,2.89E+06,3.09E+07,6.83E+06,"Cherokee County, Alabama",37%,Y,1019,1,Alabama,AL,0,,1019,3.52E+00,3.29E-01,2.91E-01,7.80E-01,0,6.36E-08,1.11E-07,1.13E-07,6.41E-09
1021,3A,1.938821038,0.561235053,0.342473443,0.517070952,4.92E+06,1.70E+07,4.53E+06,"Chilton County, Alabama",62%,Y,1021,1,Alabama,AL,0,,1021,1.94E+00,5.61E-01,3.42E-01,5.17E-01,0,1.98E-08,8.46E-08,1.26E-07,9.28E-08
1023,3A,2.238038167,0.470165052,0.319713311,0.687173942,4.12E+06,1.96E+07,6.02E+06,"Choctaw County, Alabama",52%,Y,1023,1,Alabama,AL,0,,1023,2.24E+00,4.70E-01,3.20E-01,6.87E-01,0,7.48E-08,1.03E-07,3.44E-08,6.11E-08
1025,3A,1.938821038,0.552068269,0.343049012,0.517070952,4.84E+06,1.70E+07,4.53E+06,"Clarke County, Alabama",61%,Y,1025,1,Alabama,AL,0,,1025,1.94E+00,5.52E-01,3.43E-01,5.17E-01,0,1.98E-08,5.55E-08,3.50E-08,9.28E-08
1027,3A,1.938821038,0.550536572,0.335471332,0.517070952,4.82E+06,1.70E+07,4.53E+06,"Clay County, Alabama",61%,Y,1027,1,Alabama,AL,0,,1027,1.94E+00,5.51E-01,3.35E-01,5.17E-01,0,1.98E-08,5.16E-08,9.54E-08,9.28E-08
1029,3A,1.938821038,0.462944677,0.326121036,0.687173942,4.06E+06,1.70E+07,6.02E+06,"Cleburne County, Alabama",51%,Y,1029,1,Alabama,AL,0,,1029,1.94E+00,4.63E-01,3.26E-01,6.87E-01,0,1.98E-08,4.94E-08,1.10E-07,6.11E-08
1031,3A,1.938821038,0.550536572,0.351613491,0.517070952,4.82E+06,1.70E+07,4.53E+06,"Coffee County, Alabama",61%,Y,1031,1,Alabama,AL,0,,1031,1.94E+00,5.51E-01,3.52E-01,5.17E-01,0,1.98E-08,5.16E-08,2.56E-08,9.28E-08
1033,3A,4.807709385,0.338795257,0.299957437,0.779760795,2.97E+06,4.21E+07,6.83E+06,"Colbert County, Alabama",38%,Y,1033,1,Alabama,AL,0,,1033,4.81E+00,3.39E-01,3.00E-01,7.80E-01,0,8.00E-08,1.27E-07,1.23E-07,6.41E-09
1035,3A,1.938821038,0.550536572,0.32859021,0.517070952,4.82E+06,1.70E+07,4.53E+06,"Conecuh County, Alabama",61%,Y,1035,1,Alabama,AL,0,,1035,1.94E+00,5.51E-01,3.29E-01,5.17E-01,0,1.98E-08,5.16E-08,3.04E-08,9.28E-08
1037,3A,1.938821038,0.550536572,0.324841244,0.517070952,4.82E+06,1.70E+07,4.53E+06,"Coosa County, Alabama",61%,Y,1037,1,Alabama,AL,0,,1037,1.94E+00,5.51E-01,3.25E-01,5.17E-01,0,1.98E-08,5.16E-08,1.35E-07,9.28E-08
1039,3A,1.938821038,0.564957316,0.29720719,0.517070952,4.95E+06,1.70E+07,4.53E+06,"Covington County, Alabama",63%,Y,1039,1,Alabama,AL,0,,1039,1.94E+00,5.65E-01,2.97E-01,5.17E-01,0,1.98E-08,2.78E-08,3.36E-08,9.28E-08
1041,3A,1.938821038,0.550536572,0.373669577,0.517070952,4.82E+06,1.70E+07,4.53E+06,"Crenshaw County, Alabama",61%,Y,1041,1,Alabama,AL,0,,1041,1.94E+00,5.51E-01,3.74E-01,5.17E-01,0,1.98E-08,5.16E-08,6.16E-08,9.28E-08
1043,3A,3.522873776,0.338804653,0.285669576,0.779760795,2.97E+06,3.09E+07,6.83E+06,"Cullman County, Alabama",38%,Y,1043,1,Alabama,AL,0,,1043,3.52E+00,3.39E-01,2.86E-01,7.80E-01,0,6.36E-08,1.38E-07,8.40E-08,6.41E-09
1045,3A,1.938821038,0.550592057,0.352751203,0.517070952,4.82E+06,1.70E+07,4.53E+06,"Dale County, Alabama",61%,Y,1045,1,Alabama,AL,0,,1045,1.94E+00,5.51E-01,3.53E-01,5.17E-01,0,1.98E-08,7.89E-08,8.50E-09,9.28E-08
1047,3A,1.938821038,0.555384251,0.368618853,0.517070952,4.87E+06,1.70E+07,4.53E+06,"Dallas County, Alabama",62%,Y,1047,1,Alabama,AL,0,,1047,1.94E+00,5.55E-01,3.69E-01,5.17E-01,0,1.98E-08,8.77E-08,1.28E-07,9.28E-08
1049,3A,4.807709385,0.338556687,0.286370818,0.779760795,2.97E+06,4.21E+07,6.83E+06,"DeKalb County, Alabama",38%,Y,1049,1,Alabama,AL,0,,1049,4.81E+00,3.39E-01,2.86E-01,7.80E-01,0,8.00E-08,3.69E-08,6.29E-08,6.41E-09
1051,3A,1.938821038,0.559002326,0.368741033,0.517070952,4.90E+06,1.70E+07,4.53E+06,"Elmore County, Alabama",62%,Y,1051,1,Alabama,AL,0,,1051,1.94E+00,5.59E-01,3.69E-01,5.17E-01,0,1.98E-08,4.72E-08,8.95E-08,9.28E-08
1053,3A,1.938821038,0.550536572,0.291987514,0.517070952,4.82E+06,1.70E+07,4.53E+06,"Escambia County, Alabama",61%,Y,1053,1,Alabama,AL,0,,1053,1.94E+00,5.51E-01,2.92E-01,5.17E-01,0,1.98E-08,5.16E-08,4.79E-08,9.28E-08
1055,3A,1.938821038,0.465778364,0.307727463,0.687173942,4.08E+06,1.70E+07,6.02E+06,"Etowah County, Alabama",52%,Y,1055,1,Alabama,AL,0,,1055,1.94E+00,4.66E-01,3.08E-01,6.87E-01,0,1.98E-08,7.79E-08,1.20E-07,6.11E-08
